:ID#,:LABEL#,name
Q2007385#Structural Motif#
Q5445279#Structural Motif#
Q19903500#Structural Motif#
Q24721913#Structural Motif#InterPro Repeat
Q24722066#Structural Motif#InterPro Repeat
Q24724029#Structural Motif#InterPro Repeat
Q24724065#Structural Motif#InterPro Repeat
Q24725717#Structural Motif#InterPro Repeat
Q24726543#Structural Motif#InterPro Repeat
Q24727206#Structural Motif#InterPro Repeat
Q24727475#Structural Motif#InterPro Repeat
Q24740246#Structural Motif#InterPro Repeat
Q24741838#Structural Motif#InterPro Repeat
Q24743757#Structural Motif#InterPro Repeat
Q24745079#Structural Motif#InterPro Repeat
Q24766766#Structural Motif#InterPro Repeat
Q24767041#Structural Motif#InterPro Repeat
Q24770125#Structural Motif#InterPro Repeat
Q24770520#Structural Motif#InterPro Repeat
Q24772409#Structural Motif#InterPro Repeat
Q24773013#Structural Motif#InterPro Repeat
Q24774680#Structural Motif#InterPro Repeat
Q24774748#Structural Motif#InterPro Repeat
Q24775486#Structural Motif#InterPro Repeat
Q24779450#Structural Motif#InterPro Repeat
Q24779530#Structural Motif#InterPro Repeat
Q24779811#Structural Motif#InterPro Repeat
Q24779913#Structural Motif#InterPro Repeat
Q24781713#Structural Motif#InterPro Repeat
Q24783577#Structural Motif#InterPro Repeat
Q24784217#Structural Motif#InterPro Repeat
Q24784362#Structural Motif#InterPro Repeat
Q24786426#Structural Motif#InterPro Repeat
Q24788241#Structural Motif#InterPro Repeat
Q25323693#Structural Motif#
