:ID,:LABEL,name
Q29548,Cellular Component,plasma membrane
Q30869,Cellular Component,nucleolus
Q61333,Cellular Component,X chromosome
Q126223,Cellular Component,immunological synapse
Q180951,Cellular Component,chromatin
Q186380,Cellular Component,autosome
Q189073,Cellular Component,cell junction
Q189206,Cellular Component,vesicle
Q189998,Cellular Component,flagellum
Q297095,Cellular Component,elaioplast
Q412405,Cellular Component,inflammasome complex
Q415784,Cellular Component,potassium:proton exchanging ATPase complex
Q420870,Cellular Component,spectrin
Q613311,Cellular Component,Ubisch body
Q667636,Cellular Component,sex chromosome
Q671136,Cellular Component,synaptic vesicle
Q786868,Cellular Component,proteinoplast
Q792595,Cellular Component,axolemma
Q842429,Cellular Component,perikaryon
Q970614,Cellular Component,polysome
Q1140236,Cellular Component,mitochondrial crista
Q2038057,Cellular Component,NADPH oxidase complex
Q2064069,Cellular Component,synaptonemal complex
Q2086233,Cellular Component,glyoxysome
Q2310773,Cellular Component,spine apparatus
Q2655487,Cellular Component,microneme
Q2845291,Cellular Component,anammoxosome
Q3377952,Cellular Component,phagolysosome
Q5413568,Cellular Component,axon terminus
Q6481696,Cellular Component,lamella
Q7168586,Cellular Component,perineuronal net
Q7207063,Cellular Component,podosome
Q7280278,Cellular Component,radial spoke
Q7534916,Cellular Component,Ski complex
Q14349455,Cellular Component,membrane
Q14633850,Cellular Component,external side of plasma membrane
Q14645640,Cellular Component,neuron projection
Q14762605,Cellular Component,midbody
Q14817957,Cellular Component,replication fork
Q14817968,Cellular Component,PML body
Q14818102,Cellular Component,transcription regulator complex
Q14819444,Cellular Component,endoplasmic reticulum-Golgi intermediate compartment
Q14840128,Cellular Component,cytoplasmic vesicle
Q14860091,Cellular Component,transport vesicle
Q14860436,Cellular Component,BRCA1-BARD1 complex
Q14860546,Cellular Component,basal part of cell
Q14862270,Cellular Component,cytoplasmic vesicle membrane
Q14864163,Cellular Component,intermediate filament cytoskeleton
Q14864208,Cellular Component,centriolar satellite
Q14864742,Cellular Component,very-low-density lipoprotein particle
Q14864851,Cellular Component,contractile fiber
Q14864960,Cellular Component,mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
Q14865110,Cellular Component,intrinsic component of external side of plasma membrane
Q14865210,Cellular Component,interleukin-6 receptor complex
Q14865270,Cellular Component,striated muscle thin filament
Q14865294,Cellular Component,microtubule associated complex
Q14865538,Cellular Component,AP-2 adaptor complex
Q14872726,Cellular Component,recycling endosome membrane
Q14873267,Cellular Component,cell-cell junction
Q14878180,Cellular Component,high-density lipoprotein particle
Q14878287,Cellular Component,Golgi cisterna
Q14881714,Cellular Component,collagen type I trimer
Q14886885,Cellular Component,mediator complex
Q14902226,Cellular Component,nuclear replication fork
Q14902517,Cellular Component,transport vesicle membrane
Q14904869,Cellular Component,late endosome membrane
Q14904871,Cellular Component,MHC class II protein complex
Q14905128,Cellular Component,integral component of organelle membrane
Q14905221,Cellular Component,symbiont-containing vacuole membrane
Q14905365,Cellular Component,Bcl-2 family protein complex
Q14905631,Cellular Component,juxtaparanode region of axon
Q14905695,Cellular Component,fibrillar collagen trimer
Q14905776,Cellular Component,apicolateral plasma membrane
Q14906187,Cellular Component,CRLF-CLCF1 complex
Q14906302,Cellular Component,paranode region of axon
Q14907283,Cellular Component,integral component of mitochondrial membrane
Q14907422,Cellular Component,Toll-like receptor 2-Toll-like receptor 6 protein complex
Q14907614,Cellular Component,growth hormone receptor complex
