:ID,:LABEL,name
Q2546,Disease,potassium bromide
Q19052,Disease,silver iodide
Q32703,Disease,aminomethylpropanol
Q41353,Disease,(-)-urobilin
Q43656,Disease,cholesterol
Q44804,Disease,RS-127445
Q45143,Disease,fulminic acid
Q49546,Disease,acetone
Q50694,Disease,cesium fluoride
Q50703,Disease,cesium iodide
Q52858,Disease,ethane
Q58356,Disease,amoxapine
Q58713,Disease,clomipramine
Q61416,Disease,Adenosine diphosphate ribose
Q63814,Disease,Copper(I) nitrate
Q68484,Disease,prucalopride
Q68566,Disease,mosapride
Q69488,Disease,MDMA
Q79583,Disease,lithium hydride
Q80232,Disease,cyclobutane
Q80868,Disease,tolonium chloride
Q83320,Disease,nitric acid
Q105522,Disease,uric acid
Q113820,Disease,heptyl alcohol
Q121881,Disease,cobalt(III) oxide
Q126657,Disease,nitroguanidine
Q132428,Disease,strontium hydroxide
Q134030,Disease,Nitrogen monohydride
Q135068,Disease,(+/-)-tetrahydroharmine
Q135445,Disease,muscalure
Q137648,Disease,tetrasulfur tetranitride
Q139307,Disease,calcifediol
Q144085,Disease,pimozide
Q144362,Disease,azulene
Q149452,Disease,(rac)-mecoprop
Q150694,Disease,nonane
Q150717,Disease,decane
Q150808,Disease,tetradecane
Q150977,Disease,tricosane
Q150988,Disease,tetracosane
Q155746,Disease,paricalcitol
Q155883,Disease,alfacalcidol
Q155954,Disease,tenofovir
Q161267,Disease,1,1,1-trifluoroethane
Q161288,Disease,1,1-diiodoethane
Q161451,Disease,1,2-butadiene
Q161471,Disease,1,2-dibromoethane
Q161479,Disease,1,2-diiodoethane
Q161535,Disease,1,4-pentadiene
Q161563,Disease,1,6-hexanediol
Q161564,Disease,1,8-bis(dimethylamino)naphthalene
Q161637,Disease,1-hexene
Q161640,Disease,propyl iodide
Q161641,Disease,1-hydroxybenzotriazole
Q161646,Disease,1-methylguanine
Q161655,Disease,1-naphthylamine
Q161656,Disease,1-methylnaphthalene
Q161660,Disease,1-naphthaleneacetic acid
Q161684,Disease,1-tridecanol
Q165003,Disease,N-allylaniline
Q165930,Disease,tyramine
Q168065,Disease,propargite
Q168686,Disease,polyglycerol polyricinoleate
Q168790,Disease,brefeldin A
Q169313,Disease,guanine
Q169326,Disease,zearalenone
Q171877,Disease,hydrogen peroxide
Q172422,Disease,mercurous fluoride
Q173043,Disease,stop bath
Q174723,Disease,codeine
Q174786,Disease,pentoxyverine
Q174937,Disease,p-anisaldehyde
Q175718,Disease,di-tert-butyl dicarbonate
Q180508,Disease,Thiepane
Q181545,Disease,ortho-acetovanillone
Q181619,Disease,L-Glutamine
Q182849,Disease,calcium hydroxide
Q183300,Disease,2-methylhexane
Q186257,Disease,lormetazepam
Q186969,Disease,ibuprofen
Q187487,Disease,7,12-dimethylbenzanthracene
Q189522,Disease,quinine
Q190878,Disease,activated carbon
Q191381,Disease,saccharin
Q191521,Disease,sildenafil
Q191831,Disease,ammonium sulfate
Q192454,Disease,β-D-2-deoxyribose
Q193572,Disease,salicylic acid
Q195823,Disease,1-Butanethiol
Q198728,Disease,ponatinib
Q201090,Disease,2'-deoxyadenosine triphosphate
Q202998,Disease,zileuton
Q203174,Disease,thalidomide
Q204030,Disease,(E)-cinnamyl alcohol
Q204594,Disease,zinc protoporphyrin
Q204714,Disease,zinc chloride
Q204717,Disease,zinc dithionite
Q204964,Disease,stannous chloride
Q204981,Disease,tin(II) sulfate
Q205562,Disease,ziram
Q207843,Disease,nitric oxide (radical)
Q209124,Disease,2,2-diiodopropane
Q209162,Disease,2,3-dibromo-1,4-benzoquinone
