:ID,:LABEL,name
Q68854,Disease,snakebite
Q119280,Disease,medullary sponge kidney
Q143790,Disease,Alien hand syndrome
Q188611,Disease,hypomania
Q260688,Disease,Periampullary cancer
Q377493,Disease,selective mutism
Q379038,Disease,adult polyglucosan body disease
Q387175,Disease,poisoning by drugs
Q424317,Disease,acute abdomen
Q441094,Disease,milk-alkali syndrome
Q478389,Disease,kyphosis
Q494066,Disease,experimental autoimmune encephalomyelitis
Q511818,Disease,tetany
Q551085,Disease,myelitis
Q586878,Disease,omphalitis of newborn
Q608085,Disease,photodermatitis
Q609066,Disease,avolition
Q618246,Disease,Apert syndrome
Q621053,Disease,taijin kyofusho
Q653383,Disease,mallet finger
Q689777,Disease,dopamine-responsive dystonia
Q748376,Disease,phakomatosis
Q758294,Disease,atypical choroid plexus papilloma
Q762583,Disease,catarrh
Q815296,Disease,stress-related disorders
Q816422,Disease,dysmenorrhea
Q816912,Disease,Benedikt syndrome
Q892776,Disease,Bonnet–Dechaume–Blanc syndrome
Q895414,Disease,Bowenoid papulosis
Q921907,Disease,Charles Bonnet syndrome
Q922971,Disease,Acanthamoeba keratitis
Q923339,Disease,osteophyte
Q929963,Disease,primary polydipsia
Q933444,Disease,islet-cell adenoma
Q974869,Disease,leukocytosis
Q1035226,Disease,Caput medusae
Q1036696,Disease,hypothermia
Q1069110,Disease,Cotard delusion
Q1112752,Disease,Watson syndrome
Q1147182,Disease,fecal incontinence
Q1154321,Disease,tonsillolith
Q1154764,Disease,DOOR syndrome
Q1185316,Disease,Dementia pugilistica
Q1229478,Disease,Distichia
Q1242891,Disease,staphylococcal skin infection
Q1330254,Disease,Dupuytren's contracture
Q1332565,Disease,Naxos disease
Q1345798,Disease,alcohol withdrawal seizure
Q1347729,Disease,Epstein syndrome
Q1361515,Disease,heart conduction disease
Q1399293,Disease,Binswanger's disease
Q1410835,Disease,fibroleiomyoma
Q1472019,Disease,apparent life-threatening event syndrome
Q1492283,Disease,Biliary sludge
Q1506572,Disease,atrial flutter
Q1530812,Disease,Oculo-facial-cardio-dental syndrome
Q1537070,Disease,Postictal  twilight state
Q1572282,Disease,pharyngeal phlegmon
Q1573613,Disease,venous ulcer
Q1600050,Disease,retroperitoneal fibrosis
Q1641328,Disease,factitious hypoglycemia
Q1668089,Disease,neurocytoma
Q1671598,Disease,intrauterine growth restriction
Q1711733,Disease,Salter–Harris fracture
Q1741995,Disease,King–Kopetzky syndrome
Q1753467,Disease,pathologic fracture
Q1759560,Disease,microtia
Q1790005,Disease,germ cell neoplasia in situ
Q1827605,Disease,lipedema
Q1934449,Disease,Milium
Q1951267,Disease,moyamoya disease
Q1963423,Disease,Naegeli–Franceschetti–Jadassohn syndrome
Q1987592,Disease,Pudendal nerve entrapment
Q2025687,Disease,iron overload
Q2029906,Disease,Paraproctitis
Q2035032,Disease,osteochondroma
Q2131705,Disease,Eosinophilic pustular folliculitis of infancy
Q2141001,Disease,chilblains
Q2148077,Disease,hemorrhage per rhexis
Q2258219,Disease,abuse of non-dependence-producing substances
Q2357690,Disease,postencephalitic syndrome
Q2551272,Disease,hypereosinophilic syndrome
Q2558350,Disease,Cracked nipple
Q2602725,Disease,Jessner's lymphocytic infiltration of the skin
Q2703671,Disease,Haemolacria
Q2751027,Disease,bone marrow edema
Q2852239,Disease,Neuhauser anomaly
Q2855592,Disease,Progressive inflammatory neuropathy
Q2857923,Disease,ascending aortic aneurysm
Q2869820,Disease,Kjer's optic neuropathy
Q2869826,Disease,pulmonary atresia with Ventricular Septal Defect
Q2896802,Disease,Distal renal tubular acidosis
Q2964243,Disease,hemorrhagic shock
Q2974525,Disease,citrullinemia type II
Q3043345,Disease,paranoid psychosis
Q3044887,Disease,anaclitic depression
Q3046374,Disease,zygomycosis
