:ID,:LABEL,name
Q27205,GPP,fibrin
Q43656,GPP,cholesterol
Q49546,GPP,acetone
Q63398,GPP,Chromogranin B
Q105522,GPP,uric acid
Q130948,GPP,Plasmodium
Q139307,GPP,calcifediol
Q153875,GPP,Yersinia pestis
Q169313,GPP,guanine
Q171604,GPP,Hydroxysteroid 11-beta dehydrogenase 1
Q171877,GPP,hydrogen peroxide
Q181619,GPP,L-Glutamine
Q205042,GPP,Atypical chemokine receptor 1 (Duffy blood group)
Q207843,GPP,nitric oxide (radical)
Q209433,GPP,2-methylbutyric acid
Q216852,GPP,thyroxine
Q223739,GPP,leptin
Q229970,GPP,4-hydroxybenzoic acid
Q258734,GPP,D-mannose 1-phosphate
Q259292,GPP,7-dehydrocholesterol reductase
Q267200,GPP,Angiotensinogen
Q286987,GPP,ABCA1
Q287896,GPP,Beta-2-microglobulin
Q288382,GPP,Histamine receptor H4
Q290293,GPP,Peptide YY
Q297592,GPP,heptanoic acid
Q305481,GPP,Glutamic--pyruvic transaminase
Q308856,GPP,Dopamine receptor D4
Q311992,GPP,acetylcarnitine
Q312240,GPP,metacresol
Q356062,GPP,APC regulator of WNT signaling pathway
Q386404,GPP,Erepsin
Q390540,GPP,EDNRA
Q407318,GPP,hypochlorous acid
Q407560,GPP,squalene
Q407635,GPP,coenzyme A
Q408223,GPP,Cytochrome c, somatic
Q408305,GPP,Cytochrome P450 family 17 subfamily A member 1
Q408598,GPP,C-X-C motif chemokine ligand 12
Q408712,GPP,Ferrochelatase
Q409450,GPP,Kallikrein related peptidase 3
Q409618,GPP,dihydroxyacetone
Q410153,GPP,Cobalamin binding intrinsic factor
Q410485,GPP,Serpin family E member 1
Q411041,GPP,substance P
Q411149,GPP,DNA nucleotidylexotransferase
Q412483,GPP,Cytochrome P450 family 11 subfamily A member 1
Q413766,GPP,Fibronectin 1
Q414446,GPP,Thrombomodulin
Q415364,GPP,Prostaglandin-endoperoxide synthase 2
Q415768,GPP,L-kynurenine
Q415925,GPP,DL-selenomethionine
Q416150,GPP,Thymidylate synthetase
Q416481,GPP,Nucleotide binding oligomerization domain containing 2
Q416601,GPP,androgen receptor
Q416682,GPP,picolinic acid
Q417743,GPP,PC
Q419047,GPP,trans-vaccenic acid
Q419337,GPP,Dihydrolipoamide dehydrogenase
Q419507,GPP,Microtubule associated protein tau
Q419613,GPP,Sex hormone binding globulin
Q419983,GPP,Hepcidin antimicrobial peptide
Q419999,GPP,Transthyretin
Q420038,GPP,Glucosylceramidase beta
Q420267,GPP,MYC proto-oncogene, bHLH transcription factor
Q421491,GPP,Galactosylceramidase
Q422301,GPP,Secretin
Q423470,GPP,Myotilin
Q423510,GPP,Amyloid beta precursor protein
Q423762,GPP,paclitaxel
Q423842,GPP,dimethyl sulfone
Q424728,GPP,apolipoproteins E
Q425078,GPP,thymine riboside
Q425149,GPP,Solute carrier family 4 member 1 (Diego blood group)
Q428946,GPP,iron(II)
Q430258,GPP,human chromosome 1
Q508356,GPP,COL8A1
Q638893,GPP,human chromosome 2
Q647917,GPP,leukotriene D4
Q648315,GPP,Apolipoprotein H
Q666752,GPP,human chromosome 20
Q798033,GPP,CD19 molecule
Q840734,GPP,human chromosome 13
Q862450,GPP,propionate
Q903566,GPP,homovanillic acid
Q903924,GPP,BCR activator of RhoGEF and GTPase
Q906435,GPP,GC vitamin D binding protein
Q907394,GPP,Serum response factor
Q908443,GPP,Calnexin
Q982755,GPP,keto-D-fructose 1-phosphate
Q1022703,GPP,ZMPSTE24
Q1085773,GPP,Histamine N-methyltransferase
Q1198053,GPP,Cell division cycle 42
Q1279013,GPP,Sialophorin
Q1436420,GPP,Xanthine dehydrogenase
Q1445211,GPP,human gait
Q1500003,GPP,Activin A receptor type 1B
Q1607905,GPP,p-toluic acid
Q1620739,GPP,H2A.X variant histone
Q1632039,GPP,AMT
Q1634046,GPP,catenin beta 1
Q1703648,GPP,N-terminal prohormone of brain natriuretic peptide
Q1977297,GPP,Apolipoprotein C1
Q2034004,GPP,Dopamine receptor D2
Q2045854,GPP,Aquaporin 2
Q2067372,GPP,Leucine rich repeat transmembrane neuronal 1
Q2071144,GPP,CD40 ligand
Q2100344,GPP,Podoplanin
Q2248886,GPP,Neural cell adhesion molecule 1
Q2364112,GPP,Nuclear receptor coactivator 3
Q2630678,GPP,CD2 molecule
Q2640417,GPP,Aldehyde dehydrogenase 2 family member
Q2805224,GPP,CD27 molecule
Q2806929,GPP,11-dehydro-thromboxane B2
Q2807192,GPP,Hydroxysteroid 11-beta dehydrogenase 2
Q2823281,GPP,lysophosphatidic acid
Q3047391,GPP,L-fuculose
Q3067052,GPP,Fas ligand
Q3162114,GPP,Janus kinase 2
Q3201121,GPP,Keratin 8
Q3288610,GPP,(RS)-2-hydroxybutyric acid
Q3357478,GPP,TNF receptor superfamily member 11b
Q3486853,GPP,Nuclear receptor subfamily 0 group B member 2
Q3529457,GPP,Tissue factor pathway inhibitor
Q3576424,GPP,zymosterol
Q3631793,GPP,BECN1
Q3648609,GPP,CD38 molecule
Q3714578,GPP,Doublecortin
Q3780451,GPP,Jagged canonical Notch ligand 1
Q3931282,GPP,Calcitonin receptor
Q4035579,GPP,CD46 molecule
Q4042017,GPP,KRAS proto-oncogene, GTPase
Q4046137,GPP,Selectin P
Q4046253,GPP,Selectin P ligand
Q4050587,GPP,TICAM1
Q4053528,GPP,Zinc finger protein 804A
Q4066948,GPP,Interleukin 1 receptor antagonist
Q4197146,GPP,Tumor protein p73
Q4198762,GPP,isopimaric acid
Q4210020,GPP,Cytochrome P450 family 2 subfamily E member 1
Q4217285,GPP,Cathepsin B
Q4236472,GPP,Cofilin 1
Q4253573,GPP,Lamin A/C
Q4262879,GPP,Lipopolysaccharide binding protein
Q4316436,GPP,NRGN
Q4351363,GPP,Peripheral myelin protein 22
Q4377404,GPP,Presenilin 1
Q4459747,GPP,Toll like receptor 8
Q4596897,GPP,2-methoxyestradiol
Q4649948,GPP,AATK
Q4650067,GPP,ABCC11
Q4650492,GPP,ACADSB
Q4651796,GPP,Aryl hydrocarbon receptor interacting protein
Q4652604,GPP,Amelogenin Y-linked
Q4653718,GPP,ARHGEF5
Q4674092,GPP,Acidic nuclear phosphoprotein 32 family member A
Q4734885,GPP,AHSG
Q4734887,GPP,Adrenoceptor alpha 1D
Q4778853,GPP,Ap4A
Q4807720,GPP,Aspartylglucosaminidase
Q4833116,GPP,AZU1
Q4847900,GPP,Cholinergic receptor muscarinic 1
Q4847910,GPP,Cholinergic receptor muscarinic 2
Q4859538,GPP,Glutamate metabotropic receptor 2
Q4897318,GPP,probetacellulin
Q4955708,GPP,ADGRB1
Q5007390,GPP,Chromosome 12 open reading frame 43
Q5008167,GPP,Complement C3a receptor 1
Q5008266,GPP,Complement C5a receptor 1
Q5008826,GPP,Coactivator associated arginine methyltransferase 1
Q5009796,GPP,Membrane spanning 4-domains A1
Q5009824,GPP,leukocyte surface antigen CD53
Q5009846,GPP,CD86 molecule
Q5011104,GPP,Checkpoint kinase 2
Q5011707,GPP,Class II major histocompatibility complex transactivator
Q5013193,GPP,CNTN6
Q5013459,GPP,Coenzyme Q7, hydroxylase
Q5014192,GPP,Casein kinase 1 epsilon
Q5014587,GPP,Catenin beta interacting protein 1
Q5014882,GPP,C-X-C motif chemokine ligand 11
Q5014947,GPP,Cytochrome P450 family 1 subfamily B member 1
Q5019078,GPP,Caldesmon 1
Q5038088,GPP,Carboxypeptidase E
Q5038728,GPP,CTF1
Q5044069,GPP,CPT1A
Q5049047,GPP,DFFB
Q5052487,GPP,Cathepsin L
Q5055039,GPP,CAV2
Q5055040,GPP,Caveolin 3
Q5063674,GPP,Ceramide kinase
Q5104299,GPP,CCKBR
Q5104531,GPP,Carbohydrate sulfotransferase 3
Q5145891,GPP,COL6A1
Q5148523,GPP,CSF1R
Q5156406,GPP,Complement C6
Q5198265,GPP,CCNB1
Q5198270,GPP,Cyclin D1
Q5201323,GPP,cytidine deaminase
Q5204455,GPP,CD209 molecule
Q5205770,GPP,Chromatin licensing and DNA replication factor 1
Q5262653,GPP,Derlin 1
Q5262656,GPP,Derlin 3
Q5323823,GPP,E1A binding protein p300
Q5379024,GPP,Enkephalinase (human)
Q5394965,GPP,Ubiquitin like modifier activating enzyme 1
Q5401858,GPP,estrogen receptor 1
Q5408693,GPP,Eukaryotic translation termination factor 1
Q5425457,GPP,FYVE, RhoGEF and PH domain containing 1
Q5446457,GPP,Fibroblast growth factor receptor 3
Q5458076,GPP,Flavin containing dimethylaniline monoxygenase 3
Q5458077,GPP,FMO1
Q5470358,GPP,FPR2
Q5507033,GPP,Alpha-L-fucosidase 1
Q5513074,GPP,Growth differentiation factor 10
Q5514469,GPP,POLR2MP1
Q5526828,GPP,4-hydroxybenzyl alcohol
Q5629167,GPP,Histone deacetylase 1
Q5630168,GPP,HLA-DR13
Q5630169,GPP,HLA-DR14
Q5630986,GPP,High mobility group AT-hook 2
Q5657577,GPP,Adenylate kinase 4
Q5657580,GPP,Adenylate kinase 5
Q5804960,GPP,Diacylglycerol kinase zeta
Q5939177,GPP,Human umbilical vein endothelial cell
Q5973327,GPP,IQSEC3
Q6046936,GPP,Interleukin-28 receptor
Q6393585,GPP,Keratin 1
Q6393588,GPP,Keratin 13
Q6393596,GPP,Keratin 18
Q6460476,GPP,LYPLAL1
Q6527941,GPP,leptin receptor
Q6556994,GPP,PTPRF interacting protein alpha 1
Q6590402,GPP,Urotensin 2
Q6590503,GPP,Mitogen-activated protein kinase 1
Q6592976,GPP,Retinoic acid receptor beta
Q6681172,GPP,Loricrin cornified envelope precursor protein
Q6708256,GPP,Lymphocyte cytosolic protein 2
Q6715136,GPP,MDFI
Q6717478,GPP,MAS related GPR family member E
Q6717778,GPP,MutS homolog 2
Q6718329,GPP,MT-RNR1
Q6718352,GPP,MT-TP
Q6718366,GPP,MT-TY
Q6718510,GPP,MTRNR2L8
Q6719107,GPP,MutY DNA glycosylase
Q6881855,GPP,Mitochondrial fission factor
Q6901317,GPP,Monoamine oxidase A
Q6951383,GPP,MYCN proto-oncogene, bHLH transcription factor
Q6952342,GPP,acetimidoquinone
Q6953444,GPP,NEDD8 ubiquitin like modifier
Q6981557,GPP,Sodium voltage-gated channel alpha subunit 4
Q6981561,GPP,Sodium voltage-gated channel alpha subunit 11
Q7002385,GPP,Neuromedin B receptor
Q7002514,GPP,Neuropeptide S
Q7050954,GPP,Solute carrier family 6 member 2
Q7062526,GPP,Notch receptor 3
Q7120326,GPP,Protein kinase cAMP-activated catalytic subunit alpha
Q7136149,GPP,Parathyroid hormone 2 receptor
Q7156477,GPP,Paxillin
Q7240673,GPP,insulin
Q7261255,GPP,PNP
Q7273289,GPP,Calcium voltage-gated channel subunit alpha1 E
Q7276587,GPP,RFPL3S
Q7276682,GPP,RGS9BP
Q7277581,GPP,RPS6KA6
Q7309567,GPP,Regucalcin
Q7310692,GPP,Receptor like tyrosine kinase
Q7316792,GPP,RB transcriptional corepressor like 2
Q7317662,GPP,Nuclear receptor subfamily 1 group D member 2
Q7389191,GPP,Sodium voltage-gated channel beta subunit 4
Q7390959,GPP,SLITRK1
Q7391779,GPP,SNAI1
Q7392809,GPP,SREBF chaperone
Q7667890,GPP,Cadherin 13
Q7671461,GPP,Transient receptor potential cation channel subfamily C member 3
Q7672009,GPP,PCBP2 overlapping transcript 1
Q7672588,GPP,TXNIP
Q7684469,GPP,TAP binding protein
Q7686858,GPP,Acid phosphatase 5, tartrate resistant
Q7837794,GPP,Trefoil factor 2
Q7864100,GPP,UCP3
Q7865201,GPP,Unc-13 homolog D
Q7900869,GPP,Plasminogen activator, urokinase receptor
Q7922674,GPP,Versican
Q7923213,GPP,Vesicle associated membrane protein 8
Q7941454,GPP,Von Hippel-Lindau tumor suppressor
Q7953600,GPP,Cellular communication network factor 5
Q7953601,GPP,Cellular communication network factor 6
Q8027658,GPP,WASP actin nucleation promoting factor
Q8072290,GPP,Zinc finger FYVE-type containing 9
Q10860583,GPP,betaine
Q12009087,GPP,AVP
Q12274528,GPP,CPM
Q12746324,GPP,Neuronal calcium sensor 1
Q12752331,GPP,Interleukin 25
Q14820911,GPP,OXT
Q14820943,GPP,HP
Q14821011,GPP,F2
Q14859656,GPP,CBLIF
Q14864179,GPP,KRT13
Q14864194,GPP,KRT20
Q14864239,GPP,UCHL1
Q14864522,GPP,MUC16
Q14864628,GPP,TXN
Q14864821,GPP,EGR1
Q14864863,GPP,VIM
Q14864879,GPP,GFAP
Q14864935,GPP,CLU
Q14864969,GPP,SDHC
Q14864994,GPP,HSPD1
Q14865015,GPP,CYP19A1
Q14865090,GPP,ALDOA
Q14865111,GPP,F10
Q14865176,GPP,CCR5
Q14865331,GPP,NCAM1
Q14865358,GPP,TYR
Q14865484,GPP,HRH3
Q14865830,GPP,KCNH2
Q14872724,GPP,LDLR
Q14874349,GPP,IGF2
Q14876614,GPP,SPP1
Q14876709,GPP,PCSK1
Q14876762,GPP,CANX
Q14876823,GPP,SLC26A5
Q14876882,GPP,GDF9
Q14876914,GPP,MTR
Q14877422,GPP,RNASEL
Q14877599,GPP,TNFSF10
Q14877681,GPP,COL2A1
Q14878325,GPP,APRT
Q14878806,GPP,SLC40A1
Q14879105,GPP,B2M
Q14880807,GPP,EP300
Q14881099,GPP,SLC24A5
Q14881706,GPP,ABCA12
Q14881709,GPP,ADAMTS2
Q14881867,GPP,MEFV
Q14883734,GPP,WRN
Q14885119,GPP,CD38
Q14885202,GPP,LCK
Q14885337,GPP,DYSF
Q14885645,GPP,CCL2
Q14886374,GPP,GLA
Q14888124,GPP,UROD
Q14888937,GPP,GUCY2C
Q14897645,GPP,OPRK1
Q14897674,GPP,PLIN1
Q14897677,GPP,LALBA
Q14897694,GPP,NTRK1
Q14897782,GPP,NTRK2
Q14897851,GPP,CD40LG
Q14901457,GPP,IGF1R
Q14901827,GPP,VCAM1
Q14902453,GPP,CDKN1A
Q14903102,GPP,BMP7
Q14903582,GPP,BMP15
Q14903608,GPP,TGM2
Q14903767,GPP,BMP3
Q14903775,GPP,BMP8A
Q14904559,GPP,PYY
Q14904860,GPP,ZFYVE9
Q14904941,GPP,TSHR
Q14904948,GPP,GAL
Q14904983,GPP,CYP11B2
Q14904987,GPP,ITGAX
Q14905108,GPP,ACVR1B
Q14905432,GPP,ARSA
Q14905515,GPP,ATXN1
Q14905625,GPP,CALCR
Q14905759,GPP,KCNJ2
Q14906154,GPP,CTTN
Q14906191,GPP,CNTF
Q14906495,GPP,MITF
Q14907362,GPP,SCGB1A1
Q14907402,GPP,MDK
Q14907436,GPP,TLR2
Q14907597,GPP,IL6ST
Q14907639,GPP,CCL7
Q14907732,GPP,RAD51
Q14907780,GPP,CX3CL1
Q14908072,GPP,CALB2
Q14908120,GPP,ATR
Q14908156,GPP,EPB42
Q14908222,GPP,ANXA1
Q14908739,GPP,CLOCK
Q14911644,GPP,FGFR2
Q14911717,GPP,MSH6
Q14911732,GPP,CDK2
Q14911836,GPP,LBR
Q14911841,GPP,PTGIS
Q14911850,GPP,MME
Q14911924,GPP,OPRM1
Q14911975,GPP,CFH
Q14911979,GPP,CXCR3
Q14912063,GPP,GDF6
Q14912267,GPP,CYP2B6
Q14912399,GPP,FLT3
Q14912759,GPP,SLC22A5
Q14913035,GPP,MEN1
Q14913250,GPP,SKI proto-oncogene
Q14913755,GPP,RAMP3
Q14913892,GPP,TCF7L2
Q14914043,GPP,IDE
Q14914141,GPP,SCN11A
Q14914223,GPP,LIPC
Q14914243,GPP,PSAP
Q14914255,GPP,SLC3A1
Q14914296,GPP,SLC19A3
Q14914316,GPP,KCNQ3
Q14914347,GPP,GRB10
Q14914481,GPP,CER1
Q14914522,GPP,JAK1
Q14914531,GPP,CENPB
Q14914546,GPP,EREG
Q14914578,GPP,TRPC6
Q15311575,GPP,XRN2
Q15311620,GPP,NIPBL
Q15311861,GPP,CCND1
Q15311996,GPP,COL5A2
Q15312256,GPP,NR4A2
Q15312971,GPP,NR0B2
Q15314373,GPP,STX11
Q15315489,GPP,CD53
Q15317046,GPP,COL1A2
Q15318636,GPP,GLP2R
Q15319168,GPP,ADGRE1
Q15319343,GPP,ADGRE3
Q15320451,GPP,RUNX1
Q15320940,GPP,MYO5A
Q15321841,GPP,WNT4
Q15322329,GPP,LTB4R
Q15323274,GPP,TRPA1
Q15328137,GPP,SOD1
Q15331874,GPP,LYN
Q15634040,GPP,aceturic acid
