,:ID,:LABEL,name
0,Q7365,Anatomy,muscle organ
1,Q9377,Anatomy,kidney
2,Q9609,Anatomy,vein
3,Q9620,Anatomy,nerve
4,Q9635,Anatomy,mouth
5,Q9644,Anatomy,joint
6,Q9655,Anatomy,artery
7,Q18676,Anatomy,auditory cortex
8,Q29548,Anatomy,plasma membrane
9,Q30869,Anatomy,nucleolus
10,Q33767,Anatomy,hand
11,Q37425,Anatomy,knee
12,Q41055,Anatomy,forehead
13,Q43041,Anatomy,hemoglobins
14,Q47038,Anatomy,cheek
15,Q48360,Anatomy,hippocampus
16,Q61333,Anatomy,X chromosome
17,Q61476,Anatomy,fatty acid
18,Q79447,Anatomy,immunoglobulin D
19,Q79451,Anatomy,immunoglobulin M
20,Q84133,Anatomy,myocardium
21,Q103142,Anatomy,capillary
22,Q104280,Anatomy,gums
23,Q130983,Anatomy,cerebellum
24,Q133516,Anatomy,monosaccharide
25,Q156871,Anatomy,pituitary gland
26,Q160184,Anatomy,flatulence
27,Q169313,Anatomy,guanine
28,Q169953,Anatomy,peripheral nervous system
29,Q172605,Anatomy,palate
30,Q174647,Anatomy,heel
31,Q177105,Anatomy,neuroglia
32,Q180951,Anatomy,chromatin
33,Q183282,Anatomy,Cervical fascia
34,Q184215,Anatomy,thalamus
35,Q185438,Anatomy,Posterior communicating artery
36,Q186380,Anatomy,autosome
37,Q187215,Anatomy,sympathetic nervous system
38,Q189073,Anatomy,cell junction
39,Q189763,Anatomy,trigeminal nerve
40,Q189998,Anatomy,flagellum
41,Q190140,Anatomy,vagus nerve
42,Q193583,Anatomy,adipose tissue
43,Q193818,Anatomy,hip
44,Q196672,Anatomy,rib
45,Q208453,Anatomy,smooth muscle tissue
46,Q212743,Anatomy,epidermi
47,Q223143,Anatomy,granulocyte
48,Q223851,Anatomy,corpus callosum
49,Q228537,Anatomy,forearm
50,Q232358,Anatomy,tendon
51,Q237229,Anatomy,metacarpal bones
52,Q252509,Anatomy,set of teeth
53,Q253168,Anatomy,Radial collateral ligament of wrist joint
54,Q259492,Anatomy,mandibular central incisor
55,Q261411,Anatomy,cricothyroid muscle
56,Q277357,Anatomy,isthmus of the fauces
57,Q279039,Anatomy,flexor carpi ulnaris muscle
58,Q286978,Anatomy,muscle of mastication
59,Q288821,Anatomy,deltoid ligament
60,Q301876,Anatomy,levator labii superioris alaeque nasi muscle
61,Q318773,Anatomy,abducens nerve
62,Q323438,Anatomy,mesoderm
63,Q340154,Anatomy,Pterygomandibular raphe
64,Q352045,Anatomy,Adam's apple
65,Q379859,Anatomy,upper arm
66,Q383359,Anatomy,iliococcygeus muscle
67,Q384631,Anatomy,supraglenoid tubercle
68,Q398880,Anatomy,Vestibule
69,Q407553,Anatomy,glycosaminoglycan
70,Q408014,Anatomy,chondroitin sulfate
71,Q409145,Anatomy,Calmodulin family
72,Q418892,Anatomy,glycosphingolipid
73,Q420927,Anatomy,protein complex
74,Q428914,Anatomy,myocyte
75,Q441704,Anatomy,lesser occipital nerve
76,Q447782,Anatomy,tendon sheath
77,Q465621,Anatomy,Schwann cell
78,Q473749,Anatomy,amnion
79,Q476952,Anatomy,flexor digiti minimi brevis muscle of foot
80,Q485130,Anatomy,Posterior meningeal artery
81,Q488711,Anatomy,inferior thyroid artery
82,Q489628,Anatomy,commissure
83,Q490172,Anatomy,anterior spinal artery
84,Q497563,Anatomy,internal thoracic artery
85,Q497574,Anatomy,ophthalmic artery
86,Q498179,Anatomy,middle cerebral artery
87,Q502704,Anatomy,bronchiole
88,Q505535,Anatomy,somatic nervous system
89,Q505544,Anatomy,rod cell
90,Q509053,Anatomy,atrioventricular node
91,Q510755,Anatomy,lateral cutaneous nerve of thigh
92,Q537123,Anatomy,levator ani
93,Q540092,Anatomy,periodontal fiber
94,Q545929,Anatomy,Iliolumbar artery
95,Q559526,Anatomy,suprascapular nerve
96,Q568799,Anatomy,Ansa cervicalis
97,Q571378,Anatomy,medial border of scapula
98,Q585624,Anatomy,testicular vein
99,Q597179,Anatomy,posterior cord
100,Q603244,Anatomy,Thyroglossal duct
101,Q609753,Anatomy,outer ear
102,Q612431,Anatomy,Anulus tendineus communis
103,Q618362,Anatomy,arterial blood
104,Q619284,Anatomy,rubrospinal tract
105,Q619632,Anatomy,aponeurosis
106,Q623016,Anatomy,cerebral aqueduct
107,Q623377,Anatomy,upper subscapular nerve
108,Q640536,Anatomy,pretectal area
109,Q650401,Anatomy,parathyroid
110,Q654528,Anatomy,white adipose tissue
111,Q659744,Anatomy,abductor digiti minimi muscle of hand
112,Q666219,Anatomy,Hypoglossal nucleus
113,Q667636,Anatomy,sex chromosome
114,Q671943,Anatomy,superior tarsal muscle
115,Q673321,Anatomy,Lamellar corpuscle
116,Q691942,Anatomy,pisiform bone
117,Q707098,Anatomy,anterior humeral circumflex artery
118,Q707105,Anatomy,Deep circumflex iliac artery
119,Q707419,Anatomy,ovarian artery
120,Q717887,Anatomy,arytenoid muscle
121,Q718591,Anatomy,fossa for lacrimal gland
122,Q719213,Anatomy,radial tuberosity
123,Q724580,Anatomy,radial sulcus
124,Q725612,Anatomy,hamulus of hamate bone
125,Q725785,Anatomy,suprascapular notch
126,Q726543,Anatomy,human musculoskeletal system
127,Q727745,Anatomy,Tuberosity of the ulna
128,Q740541,Anatomy,recurrent laryngeal nerve
129,Q740900,Anatomy,spermatic cord
130,Q745438,Anatomy,inferior vena cava
131,Q748180,Anatomy,palatoglossus muscle
132,Q749520,Anatomy,frontal lobe
133,Q752441,Anatomy,brachialis muscle
134,Q767067,Anatomy,anterior ethmoidal foramen
135,Q776672,Anatomy,vertebral arch
136,Q776972,Anatomy,trigeminal ganglion
137,Q788151,Anatomy,autonomic ganglion
138,Q792595,Anatomy,axolemma
139,Q821701,Anatomy,megakaryocyte
140,Q838638,Anatomy,rotatores muscles
141,Q840572,Anatomy,pronator quadratus muscle
142,Q842429,Anatomy,perikaryon
143,Q842547,Anatomy,puborectalis muscle
144,Q846480,Anatomy,buccinator muscle
145,Q857940,Anatomy,facial canal
146,Q868304,Anatomy,anatomical neck of humerus
147,Q876089,Anatomy,left ventricle
148,Q900610,Anatomy,subcostalis muscle
149,Q901269,Anatomy,brown adipose tissue
150,Q901538,Anatomy,rhomboid minor muscle
151,Q913348,Anatomy,Intertransverse ligament
152,Q916698,Anatomy,oligodendrocyte
153,Q918518,Anatomy,zygomatic nerve
154,Q921517,Anatomy,bulb of penis
155,Q924285,Anatomy,wormian bone
156,Q928286,Anatomy,Glenoid labrum
157,Q931622,Anatomy,opponens pollicis muscle
158,Q932557,Anatomy,occipitofrontalis muscle
159,Q936531,Anatomy,fascia
160,Q936818,Anatomy,Parabrachial nuclei
161,Q937076,Anatomy,spinal nerve
162,Q943203,Anatomy,gastrocnemius muscle
163,Q955788,Anatomy,palmaris brevis muscle
164,Q974231,Anatomy,utricle
165,Q1002789,Anatomy,posterior ethmoidal foramen
166,Q1003242,Anatomy,inferior costal facet
167,Q1051430,Anatomy,obliquus capitis inferior muscle
168,Q1055786,Anatomy,longus capitis muscle
169,Q1061328,Anatomy,corona of glans penis
170,Q1064403,Anatomy,semicircular canal
171,Q1066345,Anatomy,Bowman's capsule
172,Q1072007,Anatomy,geniohyoid muscle
173,Q1072039,Anatomy,thyrohyoid muscle
174,Q1076064,Anatomy,chondroblast
175,Q1076423,Anatomy,splenius cervicis muscle
176,Q1079316,Anatomy,optic (nerve) tract
177,Q1091300,Anatomy,depressor septi nasi muscle
178,Q1102066,Anatomy,microtubule-associated proteins
179,Q1130003,Anatomy,Pisohamate ligament
180,Q1137072,Anatomy,rhombencephalon
181,Q1140236,Anatomy,mitochondrial crista
182,Q1172095,Anatomy,patellar tendon
183,Q1180012,Anatomy,helicis major
184,Q1211892,Anatomy,labia minora
185,Q1230047,Anatomy,fornix of the brain
186,Q1230052,Anatomy,Saphenous opening
187,Q1237109,Anatomy,occipital plane
188,Q1240479,Anatomy,anterior clinoid process
189,Q1246415,Anatomy,Trigone of urinary bladder
190,Q1256980,Anatomy,lateral sulcus
191,Q1263629,Anatomy,thoracic duct
192,Q1290783,Anatomy,Sphenoethmoidal suture
193,Q1340752,Anatomy,endolymph
194,Q1340833,Anatomy,Endosteum
195,Q1365325,Anatomy,radial nerve
196,Q1386945,Anatomy,fibularis longus
197,Q1393590,Anatomy,pectinate muscle
198,Q1397367,Anatomy,medial longitudinal fasciculus
199,Q1419042,Anatomy,tanycyte
200,Q1421408,Anatomy,reticular cell
201,Q1425589,Anatomy,extensor retinaculum of the hand
202,Q1426052,Anatomy,quadratus lumborum muscle
203,Q1427600,Anatomy,somite
204,Q1436583,Anatomy,mandibular foramen
205,Q1436590,Anatomy,Foramen lacerum
206,Q1457751,Anatomy,cavernous sinus
207,Q1493508,Anatomy,otic ganglion
208,Q1500758,Anatomy,obturator internus muscle
209,Q1519198,Anatomy,Facial lymph nodes
210,Q1547362,Anatomy,pelvic cavity
211,Q1568920,Anatomy,planum temporale
212,Q1575134,Anatomy,Sacrotuberous ligament
213,Q1591425,Anatomy,Langer's lines
214,Q1601362,Anatomy,basilic vein
215,Q1620205,Anatomy,cranial nerve nucleus
216,Q1623349,Anatomy,Sset of inferior anal nerves
217,Q1633822,Anatomy,rectus femoris muscle
218,Q1635066,Anatomy,Infundibulum of uterine tube
219,Q1635458,Anatomy,pyloric antrum
220,Q1648555,Anatomy,bulb of vestibule
221,Q1659799,Anatomy,vaginal fornix
222,Q1665277,Anatomy,quadratus plantae muscle
223,Q1724233,Anatomy,umbilical artery
224,Q1742964,Anatomy,Valve of inferior vena cava
225,Q1751717,Anatomy,red nucleus
226,Q1753760,Anatomy,greater petrosal nerve
227,Q1756451,Anatomy,Renshaw cell
228,Q1756762,Anatomy,obturator externus muscle
229,Q1756808,Anatomy,rete mirabile
230,Q1758798,Anatomy,shoulder joint
231,Q1772886,Anatomy,sella turcica
232,Q1813830,Anatomy,Nucleus basalis of Meynert
233,Q1824652,Anatomy,Uterosacral ligament
234,Q1862100,Anatomy,frenulum of clitoris
235,Q1873857,Anatomy,lymphoblast
236,Q1913658,Anatomy,papillary muscle
237,Q1978114,Anatomy,deep petrosal nerve
238,Q1978139,Anatomy,Suboccipital nerve
239,Q1978198,Anatomy,tibial nerve
240,Q1983003,Anatomy,anatomical line along groove
241,Q2004084,Anatomy,Paneth cell
242,Q2004182,Anatomy,Fastigial nucleus
243,Q2035067,Anatomy,osteoid
244,Q2071037,Anatomy,Periorbita
245,Q2076795,Anatomy,lacrimal canaliculi
246,Q2080394,Anatomy,dorsal artery of the penis
247,Q2164516,Anatomy,Femoral triangle
248,Q2248886,Anatomy,Neural cell adhesion molecule 1
249,Q2353265,Anatomy,diaphysis
250,Q2354337,Anatomy,phosphatidyl serine
251,Q2360339,Anatomy,plantar interossei muscles
252,Q2393792,Anatomy,perineurium
253,Q2409399,Anatomy,renal medulla
254,Q2414279,Anatomy,lentiform nucleus
255,Q2447644,Anatomy,central tegmental tract
256,Q2487461,Anatomy,maxillary central incisor
257,Q2512768,Anatomy,external jugular vein
258,Q2531387,Anatomy,Decidua
259,Q2596226,Anatomy,juxtaglomerular cell
260,Q2620085,Anatomy,ciliary process
261,Q2631550,Anatomy,follicular dendritic cells
262,Q2643251,Anatomy,chemical synapse
263,Q2685072,Anatomy,lateral
264,Q2760639,Anatomy,Helicotrema
265,Q2796182,Anatomy,Conoid ligament
266,Q2865999,Anatomy,inferior suprarenal artery
267,Q2888202,Anatomy,Subclavian loop
268,Q2914731,Anatomy,distal convoluted tubule
269,Q2919618,Anatomy,mental branch of inferior alveolar artery
270,Q3088602,Anatomy,Superficial fibular nerve
271,Q3122152,Anatomy,Stria terminalis
272,Q3130956,Anatomy,Paracentral lobule
273,Q3270899,Anatomy,anterior ethmoidal artery
274,Q3301573,Anatomy,zona fasciculata
275,Q3307119,Anatomy,external occipital protuberance
276,Q3316775,Anatomy,radial veins
277,Q3322746,Anatomy,cystic vein
278,Q3324292,Anatomy,median antebrachial vein
279,Q3328747,Anatomy,Princeps pollicis artery
280,Q3328967,Anatomy,axillary fascia
281,Q3338317,Anatomy,buccal nerve
282,Q3346043,Anatomy,nucleus pulposus
283,Q3493614,Anatomy,intermediate cuneiform bone
284,Q3494094,Anatomy,saccule
285,Q3507797,Anatomy,middle suprarenal artery
286,Q3518027,Anatomy,Conjoint tendon
287,Q3559311,Anatomy,Arachnoid granulation
288,Q3621435,Anatomy,marginal artery of the colon
289,Q3624379,Anatomy,joints of the foot
290,Q3740460,Anatomy,upper lip
291,Q3752103,Anatomy,Zona incerta
292,Q3756509,Anatomy,preganglionic nerve fibers
293,Q3823716,Anatomy,renal papilla
294,Q3855279,Anatomy,mesometrium
295,Q4006434,Anatomy,Membranous urethra
296,Q4115114,Anatomy,mandibular fossa
297,Q4115340,Anatomy,left colic vein
298,Q4116715,Anatomy,jejunal veins
299,Q4117097,Anatomy,lumbar veins
300,Q4117172,Anatomy,perineal artery
301,Q4117816,Anatomy,superior ophthalmic vein
302,Q4119770,Anatomy,Body of radius
303,Q4119889,Anatomy,Body of ulna
304,Q4319750,Anatomy,Clivus
305,Q4381683,Anatomy,Zygomatico-orbital artery
306,Q4391932,Anatomy,Inferior cerebral veins
307,Q4391978,Anatomy,Subparietal sulcus
308,Q4428834,Anatomy,caroticotympanic arteries
309,Q4459859,Anatomy,obturator canal
310,Q4672545,Anatomy,accessory visual structures
311,Q4675817,Anatomy,nerve to tensor veli palatini
312,Q4681414,Anatomy,adductor hiatus
313,Q4738008,Anatomy,alveus of hippocampus
314,Q4739730,Anatomy,sinus venosus
315,Q4771321,Anatomy,anterior ligament of pinna
316,Q4771334,Anatomy,anterior compartment of leg
317,Q4771340,Anatomy,Anterior crural intermuscular septum
318,Q4771341,Anatomy,anterior corticospinal tract
319,Q4771345,Anatomy,Anterior gluteal line
320,Q4771369,Anatomy,anterior ligament of the head of the fibula
321,Q4771374,Anatomy,anterior median fissure of spinal cord
322,Q4771397,Anatomy,Anterior spinothalamic tract
323,Q4771431,Anatomy,anterolateral sulcus of spinal cord
324,Q4787736,Anatomy,Arcuate popliteal ligament
325,Q4809336,Anatomy,Association fiber
326,Q4822345,Anatomy,auricular branch of vagus nerve
327,Q4860300,Anatomy,Bare area of the liver
328,Q4867297,Anatomy,Basilar part of pons
329,Q4867298,Anatomy,Basilar sulcus
330,Q4936943,Anatomy,Body of pubic bone
331,Q4973070,Anatomy,Brodmann area 24
332,Q4973076,Anatomy,Brodmann area 28
333,Q4973090,Anatomy,Brodmann area 40
334,Q4973830,Anatomy,bronchomediastinal lymph trunk
335,Q5018678,Anatomy,calcaneofibular ligament
336,Q5038329,Anatomy,Cardiac notch of left lung
337,Q5058035,Anatomy,Celiac branches of vagus nerve
338,Q5065356,Anatomy,C7 spinal nerve
339,Q5129640,Anatomy,clavipectoral fascia
340,Q5145995,Anatomy,collateral ligaments of metacarpophalangeal articulations
341,Q5152886,Anatomy,commissural fiber
342,Q5170066,Anatomy,Cords of Billroth
343,Q5175184,Anatomy,Costotransverse ligament
344,Q5185081,Anatomy,Cricoarytenoid articulation
345,Q5194249,Anatomy,Cuneonavicular articulation
346,Q5250368,Anatomy,deep branch of lateral plantar nerve
347,Q5250449,Anatomy,Deep transverse metacarpal ligament
348,Q5298773,Anatomy,Dorsal cuneocuboid ligament
349,Q5298783,Anatomy,dorsal digital veins of the foot
350,Q5298785,Anatomy,dorsal intercuneiform ligaments
351,Q5298788,Anatomy,dorsal lingual branches of lingual artery
352,Q5298799,Anatomy,dorsal pancreatic artery
353,Q5306281,Anatomy,lingual veins
354,Q5382068,Anatomy,eparterial bronchus
355,Q5407200,Anatomy,middle temporal gyrus
356,Q5422040,Anatomy,External pudendal artery
357,Q5428555,Anatomy,facial colliculus
358,Q5436624,Anatomy,Fascia cribrosa
359,Q5454239,Anatomy,first rib
360,Q5505915,Anatomy,frontal vein
361,Q5526873,Anatomy,Gastrophrenic ligament
362,Q5566614,Anatomy,glandular branches of the inferior thyroid artery
363,Q5600891,Anatomy,greater palatine nerve
364,Q5600920,Anatomy,greater trochanter
365,Q5620438,Anatomy,inferior olivary nucleus
366,Q5750543,Anatomy,hiatus for lesser petrosal nerve
367,Q5773169,Anatomy,histone octamer
368,Q5998331,Anatomy,Iliolumbar ligament
369,Q6014713,Anatomy,incisive foramen
370,Q6029368,Anatomy,Inferior mesenteric ganglion
371,Q6029401,Anatomy,Inferior petrosal sinus
372,Q6029425,Anatomy,Inferior salivatory nucleus
373,Q6031427,Anatomy,Infraglottic cavity
374,Q6045604,Anatomy,Intercalated nucleus
375,Q6045974,Anatomy,Intercrural fibres of superficial inguinal ring
376,Q6056249,Anatomy,interosseous recurrent artery
377,Q6057329,Anatomy,intervenous tubercle
378,Q6060736,Anatomy,investing layer of deep cervical fascia
379,Q6079266,Anatomy,Ischiofemoral ligament
380,Q6319155,Anatomy,juxtarestiform body
381,Q6495580,Anatomy,lateral corticospinal tract
382,Q6495691,Anatomy,lateral retinaculum
383,Q6531656,Anatomy,lesser trochanter
384,Q6553986,Anatomy,lingual branches of glossopharyngeal nerve
385,Q6641139,Anatomy,Upper extremity of radius
386,Q6641978,Anatomy,deep femoral vein
387,Q6674015,Anatomy,longitudinal striae of Lancisi
388,Q6703140,Anatomy,lumbosacral trunk
389,Q6703870,Anatomy,Lunate sulcus
390,Q6785598,Anatomy,mastoid cell
391,Q6795555,Anatomy,maxillary tuberosity
392,Q6806042,Anatomy,medial epicondyle of the femur
393,Q6806058,Anatomy,medial intermuscular septum of arm
394,Q6806063,Anatomy,medial marginal vein
395,Q6806123,Anatomy,median preoptic nucleus
396,Q6806127,Anatomy,Median raphe nucleus
397,Q6817082,Anatomy,meningeal branches of vertebral artery
398,Q6821212,Anatomy,mesenteric lymph nodes
399,Q6841671,Anatomy,middle meningeal nerve
400,Q6967224,Anatomy,nasofrontal vein
401,Q7075563,Anatomy,Obturator crest
402,Q7086513,Anatomy,Olfactory tract
403,Q7098801,Anatomy,optic recess
404,Q7126817,Anatomy,palatine aponeurosis
405,Q7135465,Anatomy,Paranephric body
406,Q7135649,Anatomy,parapharyngeal space
407,Q7161792,Anatomy,Pelvic brim
408,Q7168171,Anatomy,perforating branches of internal thoracic artery
409,Q7168571,Anatomy,perineal branches of posterior femoral cutaneous nerve
410,Q7168574,Anatomy,perineal membrane
411,Q7180880,Anatomy,pharyngeal constrictor
412,Q7180884,Anatomy,Pharyngeal opening of auditory tube
413,Q7201578,Anatomy,Plantar calcaneocuboid ligament
414,Q7201589,Anatomy,plantar plate
415,Q7201591,Anatomy,Plantar tarsometatarsal ligaments
416,Q7228291,Anatomy,pontine arteries
417,Q7234190,Anatomy,posterior cutaneous nerve of forearm
418,Q7234205,Anatomy,posterior interventricular sulcus
419,Q7234234,Anatomy,posterior scrotal nerves
420,Q7234238,Anatomy,posterior septal branches of sphenopalatine artery
421,Q7257010,Anatomy,pterygospinous ligament
422,Q7258153,Anatomy,Pubocervical ligament
423,Q7280278,Anatomy,radial spoke
424,Q7303234,Anatomy,Rectovaginal fascia
425,Q7334366,Anatomy,rima glottidis
426,Q7376189,Anatomy,rubro-olivary tract
427,Q7396635,Anatomy,saccular nerve
428,Q7396917,Anatomy,Sacral ganglia
429,Q7396927,Anatomy,sacral splanchnic nerves
430,Q7449673,Anatomy,semispinalis muscle
431,Q7512455,Anatomy,Sigmoid mesocolon
432,Q7558250,Anatomy,solitary lymphatic nodule
433,Q7576646,Anatomy,sphenoidal conchae
434,Q7578546,Anatomy,Splenic plexus
435,Q7581930,Anatomy,squamous part of frontal bone
436,Q7629692,Anatomy,Stylomandibular ligament
437,Q7630979,Anatomy,Subcostal plane
438,Q7631109,Anatomy,Subdural space
439,Q7643302,Anatomy,superficial branch of ulnar nerve
440,Q7643313,Anatomy,superficial epigastric vein
441,Q7643595,Anatomy,superior cluneal nerves
442,Q7643644,Anatomy,Superior ligament of incus
443,Q7643666,Anatomy,superior phrenic vein
444,Q7645364,Anatomy,Sural arteries
445,Q7661035,Anatomy,sylvian point
446,Q7674872,Anatomy,Taenia thalami
447,Q7705265,Anatomy,segmental bronchus
448,Q7784280,Anatomy,thin ascending limb of loop of Henle
449,Q7796120,Anatomy,T1 spinal nerve
450,Q7796129,Anatomy,T4 spinal nerve
