:ID,:LABEL,name
Q12133,Phenotype,deafness
Q16408,Phenotype,halitosis
Q127076,Phenotype,vomiting
Q145790,Phenotype,iridocyclitis
Q158103,Phenotype,déjà vu
Q161964,Phenotype,capillary leak syndrome
Q168403,Phenotype,myopia
Q170082,Phenotype,psychosis
Q174857,Phenotype,scoliosis
Q185089,Phenotype,acidosis
Q187255,Phenotype,rheumatoid arthritis
Q188605,Phenotype,pulmonary emphysema
Q202173,Phenotype,hordeolum
Q212961,Phenotype,pancreatic cancer
Q246002,Phenotype,polycystic liver disease
Q270421,Phenotype,muscle weakness
Q284070,Phenotype,protein-losing enteropathy
Q379476,Phenotype,epidermoid cyst
Q418418,Phenotype,ankylosis
Q422225,Phenotype,actinic keratosis
Q431643,Phenotype,microcephaly
Q452368,Phenotype,arthrosis of hip
Q478389,Phenotype,kyphosis
Q496812,Phenotype,leukopenia
Q504775,Phenotype,bladder cancer
Q506659,Phenotype,prostatic hypertrophy
Q511818,Phenotype,tetany
Q535425,Phenotype,Boerhaave syndrome
Q536269,Phenotype,phaeochromocytoma
Q551085,Phenotype,myelitis
Q552348,Phenotype,eclampsia
Q575168,Phenotype,Hyperventilation
Q579665,Phenotype,dextrocardia
Q584211,Phenotype,hydrocele
Q584560,Phenotype,dysgraphia
Q614750,Phenotype,bronchiolitis obliterans
Q616066,Phenotype,coarctation of the aorta
Q683498,Phenotype,arthralgia
Q730877,Phenotype,hydronephrosis
Q744790,Phenotype,Treacher Collins syndrome
Q762713,Phenotype,hypercholesterolemia
Q816422,Phenotype,dysmenorrhea
Q819207,Phenotype,pseudohypoparathyroidism
Q860395,Phenotype,osteomalacia
Q883850,Phenotype,blepharophimosis
Q883863,Phenotype,blepharospasm
Q896643,Phenotype,brachydactyly
Q906492,Phenotype,dystonia
Q913856,Phenotype,Friedreich ataxia
Q918285,Phenotype,adrenocortical carcinoma
Q936070,Phenotype,trismus
Q974869,Phenotype,leukocytosis
Q1036696,Phenotype,hypothermia
Q1051786,Phenotype,calvarial hyperostosis
Q1053470,Phenotype,insulin resistance
Q1053824,Phenotype,Raynaud disease
Q1068997,Phenotype,cheilitis
Q1072420,Phenotype,primary biliary cirrhosis
Q1088156,Phenotype,chronic lymphocytic leukemia
Q1126769,Phenotype,paresis
Q1128431,Phenotype,vaginismus
Q1130519,Phenotype,heart valve disease
Q1131260,Phenotype,keloid
Q1145668,Phenotype,hemolytic anemia
Q1147182,Phenotype,fecal incontinence
Q1172076,Phenotype,hepatocellular adenoma
Q1179460,Phenotype,Fanconi syndrome
Q1209744,Phenotype,uterine cancer
Q1320428,Phenotype,malocclusion
Q1330254,Phenotype,Dupuytren's contracture
Q1360044,Phenotype,syndactyly
Q1361515,Phenotype,heart conduction disease
Q1421356,Phenotype,hyperacusis
Q1426443,Phenotype,nocturia
Q1435223,Phenotype,focal segmental glomerulosclerosis
Q1476525,Phenotype,lipid metabolism disorder
Q1480291,Phenotype,contracture
Q1495797,Phenotype,panhypopituitarism
Q1501239,Phenotype,insulinoma
Q1506572,Phenotype,atrial flutter
Q1507609,Phenotype,ochronosis
Q1524940,Phenotype,choroid plexus carcinoma
Q1546328,Phenotype,tardive dyskinesia
Q1570013,Phenotype,thrombophilia
Q1571975,Phenotype,hallux varus
Q1585753,Phenotype,urethral stricture
Q1586088,Phenotype,hypoparathyroidism
Q1600050,Phenotype,retroperitoneal fibrosis
Q1628627,Phenotype,Left ventricular hypertrophy
Q1640868,Phenotype,Hyperammonemia
Q1671598,Phenotype,intrauterine growth restriction
Q1679678,Phenotype,hydrops fetalis
Q1704531,Phenotype,pilomatrixoma
Q1753467,Phenotype,pathologic fracture
Q1753547,Phenotype,hypotonia
Q1756133,Phenotype,presbycusis
Q1756640,Phenotype,ranula
Q1757427,Phenotype,pancytopenia
Q1757915,Phenotype,sick sinus syndrome
Q1759560,Phenotype,microtia
Q1826391,Phenotype,atrophic gastritis
Q1827605,Phenotype,lipedema
Q1876206,Phenotype,Pelizaeus-Merzbacher disease
Q1908194,Phenotype,vulvar cancer
Q1968827,Phenotype,impacted tooth
Q1975850,Phenotype,parotitis
Q1981345,Phenotype,neuroma
Q2035032,Phenotype,osteochondroma
